"timestamp","open","high","low","close","volume","Symbol"
"2019-04-12","26357.7891","26436.6797","26309.7207","26412.3008","369910000","DJI"
"2019-04-11","26188.2109","26229.8809","26062.5898","26143.0508","211680000","DJI"
"2019-04-10","26173.7109","26209.4902","26101.2402","26157.1602","203130000","DJI"
"2019-04-09","26243.5391","26246.3398","26103.1406","26150.5801","244410000","DJI"
"2019-04-08","26312.6699","26344.6504","26246.0293","26341.0195","229380000","DJI"
"2019-04-05","26427.5605","26487.5703","26370.8203","26424.9902","229550000","DJI"
"2019-04-04","26213.4199","26398.9004","26212.7793","26384.6309","233040000","DJI"
"2019-04-03","26238.0293","26282.1699","26138.4707","26218.1309","271980000","DJI"
"2019-04-02","26213.5508","26221.2402","26122.3105","26179.1309","250940000","DJI"
"2019-04-01","26075.0996","26280.9004","26071.6895","26258.4199","295570000","DJI"
"2019-03-29","25827.3105","25949.3203","25771.6699","25928.6797","300620000","DJI"
"2019-03-28","25693.3203","25743.4102","25576.6895","25717.4609","237170000","DJI"
"2019-03-27","25676.3398","25758.1699","25425.2695","25625.5898","270340000","DJI"
"2019-03-26","25649.5605","25796.2891","25544.7793","25657.7305","305110000","DJI"
"2019-03-25","25490.7207","25603.2695","25372.2598","25516.8301","303120000","DJI"
"2019-03-22","25844.6504","25877.0098","25501.4492","25502.3203","386510000","DJI"
"2019-03-21","25688.4395","26009.9004","25657.7793","25962.5098","335250000","DJI"
"2019-03-20","25867.7891","25929.5195","25670.6309","25745.6699","321980000","DJI"
"2019-03-19","25987.8691","26109.6797","25814.9199","25887.3809","342250000","DJI"
"2019-03-18","25801.8809","25924.7695","25785.6602","25914.0996","399530000","DJI"
"2019-03-15","25720.9609","25927.9102","25649.6992","25848.8691","616910000","DJI"
"2019-03-14","25692.3105","25752.8398","25621.3105","25709.9395","302790000","DJI"
"2019-03-13","25637.2305","25776.4902","25571.3105","25702.8906","331410000","DJI"
"2019-03-12","25600.3008","25675.4395","25522.1699","25554.6602","317730000","DJI"
"2019-03-11","25208.0000","25661.6309","25208.0000","25650.8809","309790000","DJI"
"2019-03-08","25347.3809","25466.1406","25252.4609","25450.2402","270500000","DJI"
"2019-03-07","25645.4492","25645.4492","25352.5508","25473.2305","289140000","DJI"
"2019-03-06","25818.7598","25837.6094","25633.7109","25673.4609","256250000","DJI"
"2019-03-05","25829.0703","25877.1504","25725.6309","25806.6309","252260000","DJI"
"2019-03-04","26122.1895","26155.9805","25611.5508","25819.6504","295510000","DJI"
"2019-03-01","26019.6699","26143.9199","25914.3691","26026.3203","289890000","DJI"
"2019-02-28","25984.2793","26029.2109","25896.5605","25916.0000","338520000","DJI"
"2019-02-27","25995.5996","26039.6797","25877.2402","25985.1602","255380000","DJI"
"2019-02-26","26051.6094","26155.2891","25966.0098","26057.9805","257850000","DJI"
"2019-02-25","26126.1504","26241.4199","26080.6602","26091.9492","281600000","DJI"
"2019-02-22","25906.2695","26052.9004","25906.2695","26031.8105","279760000","DJI"
"2019-02-21","25922.4102","25938.8809","25762.2109","25850.6309","255710000","DJI"
"2019-02-20","25872.2598","25986.1992","25846.4805","25954.4395","287880000","DJI"
"2019-02-19","25849.8496","25961.4395","25820.0098","25891.3203","280620000","DJI"
"2019-02-15","25564.6309","25883.7207","25564.6309","25883.2500","328530000","DJI"
"2019-02-14","25460.6504","25558.9004","25308.0898","25439.3906","313010000","DJI"
"2019-02-13","25480.8594","25625.9492","25480.8594","25543.2695","263330000","DJI"
"2019-02-12","25152.0293","25458.9805","25152.0293","25425.7598","278110000","DJI"
"2019-02-11","25142.8105","25196.7500","25009.0996","25053.1094","241700000","DJI"
"2019-02-08","25042.3594","25106.3906","24883.0391","25106.3301","248210000","DJI"
