timestamp,open,high,low,close,volume
2019-04-12,55.9300,58.3300,55.9300,58.3000,9240840
2019-04-11,55.7000,56.2100,54.8300,54.8900,7346094
2019-04-10,55.9900,56.4100,55.1000,55.7100,9081860
2019-04-09,56.8000,57.2000,56.0800,56.2700,9179922
2019-04-08,56.5000,58.3900,56.2700,57.1500,10764569
2019-04-05,58.3900,58.9800,56.2700,57.2400,17000788
2019-04-04,57.2000,60.5200,57.1000,59.7100,13311868
2019-04-03,57.0800,57.2000,55.5100,56.8800,15066169
2019-04-02,55.1200,57.3900,54.3000,56.2500,17414153
2019-04-01,52.3000,54.3900,51.2500,53.5000,19663442
2019-03-29,49.5200,52.4800,49.1800,51.6300,1769027
2019-03-28,50.9000,51.0000,49.9150,50.8500,585438
2019-03-27,49.0000,50.7800,49.0000,50.1000,1788588
2019-03-26,49.0000,49.7500,48.1800,48.8500,504734
2019-03-25,48.6000,49.4000,48.0000,49.1500,440892
2019-03-22,48.8000,49.9500,48.1600,48.6000,844690
2019-03-21,49.9900,50.0000,48.2000,48.9800,1764671
2019-03-20,52.7500,53.5000,49.5000,49.8000,2350838
