timestamp,open,high,low,close,volume
2019-04-05,32.0700,32.3600,31.9200,32.3500,39928718
2019-04-04,31.9500,32.1300,31.9200,31.9800,28211971
2019-04-03,31.7968,31.9600,31.6400,31.8700,28779967
2019-04-02,31.9100,31.9500,31.5500,31.6300,31945765
2019-04-01,31.6000,31.9900,31.5400,31.9500,37773767
2019-03-29,31.1600,31.3850,30.9700,31.3600,31606530
2019-03-28,31.4200,31.5000,30.8700,31.0100,26996419
2019-03-27,31.3100,31.6400,31.2500,31.4000,26743641
2019-03-26,30.9700,31.4200,30.9400,31.3900,24304939
2019-03-25,31.1000,31.1500,30.6500,30.7700,25633279
2019-03-22,31.0000,31.3400,31.0000,31.0700,33171404
2019-03-21,30.4500,31.1500,30.4500,31.0600,26343293
2019-03-20,30.5900,30.7600,30.4000,30.5100,24664904
2019-03-19,30.8700,31.0500,30.5600,30.6800,28730520
2019-03-18,30.6800,30.8400,30.5866,30.8000,23325108
2019-03-15,30.5100,30.6800,30.3000,30.6700,53361640
2019-03-14,30.2800,30.4900,30.2100,30.2800,22091439
2019-03-13,30.6500,30.7200,30.2100,30.2800,27702221
2019-03-12,30.2500,30.8950,30.2200,30.6300,32484586
2019-03-11,29.9800,30.3100,29.9450,30.2200,26018525
2019-03-08,29.8500,30.0600,29.7400,29.9600,22505948
2019-03-07,29.8600,30.0700,29.8000,29.9200,24826103
2019-03-06,30.0000,30.1350,29.7650,29.8100,24580343
2019-03-05,30.0200,30.0500,29.8000,29.9500,26029791
2019-03-04,30.9500,30.9500,29.6700,29.9800,49482743
2019-03-01,31.2000,31.2400,30.6400,30.8200,30592851
2019-02-28,31.0600,31.2700,30.9700,31.1200,28225982
2019-02-27,31.2300,31.2700,30.7800,31.0600,26349549
2019-02-26,31.1400,31.4300,30.9600,31.2200,29664844
2019-02-25,31.2500,31.2900,31.0200,31.1300,24414699
2019-02-22,30.9500,31.1900,30.8200,31.1500,23357232
2019-02-21,30.8600,31.0600,30.6300,30.8300,26580394
2019-02-20,30.6400,30.9429,30.4600,30.8500,24749090
2019-02-19,30.4600,30.6800,30.3100,30.6300,24712413
2019-02-15,30.0300,30.5200,29.9300,30.4700,37188658
2019-02-14,29.7000,30.0100,29.5500,29.7900,25846239
