"timestamp","open","high","low","close","volume","Symbol"
"2019-04-05","1219.3000","1220.3900","1210.0300","1211.4500","1001044","GOOGL"
"2019-04-04","1211.2900","1220.5500","1209.0400","1219.4500","1051089","GOOGL"
"2019-04-03","1212.7000","1220.6000","1205.0800","1210.8100","1109614","GOOGL"
"2019-04-02","1200.0500","1205.8100","1191.2400","1205.5400","914413","GOOGL"
"2019-04-01","1187.5400","1200.2000","1186.3600","1198.9800","1385595","GOOGL"
"2019-03-29","1180.1800","1183.9700","1166.3800","1176.8900","1544615","GOOGL"
"2019-03-28","1175.5000","1177.2500","1163.4300","1172.2700","1120122","GOOGL"
"2019-03-27","1191.9200","1191.9200","1164.2300","1178.0100","1471402","GOOGL"
"2019-03-26","1205.1900","1207.6500","1181.7600","1189.8400","1537606","GOOGL"
"2019-03-25","1199.5600","1209.4400","1190.0000","1197.3800","1378849","GOOGL"
"2019-03-22","1228.8500","1233.6300","1206.0000","1207.6500","1721133","GOOGL"
"2019-03-21","1220.0000","1236.4400","1216.5800","1236.1300","1407480","GOOGL"
"2019-03-20","1201.4000","1229.9900","1199.5900","1226.4300","2075442","GOOGL"
"2019-03-19","1191.7200","1203.4000","1189.4600","1202.4600","1489407","GOOGL"
"2019-03-18","1189.6900","1194.9500","1181.4800","1188.5500","1222203","GOOGL"
"2019-03-15","1198.0000","1201.7200","1187.0100","1190.3000","2593338","GOOGL"
"2019-03-14","1199.0200","1204.7000","1191.2300","1192.5300","1365072","GOOGL"
"2019-03-13","1205.9300","1207.1200","1197.9100","1199.0600","1294354","GOOGL"
"2019-03-12","1182.3000","1205.7100","1182.3000","1197.2500","2110979","GOOGL"
"2019-03-11","1152.0000","1179.9100","1151.5700","1179.2600","1501633","GOOGL"
"2019-03-08","1133.9000","1153.4500","1130.2000","1149.9700","1184732","GOOGL"
"2019-03-07","1160.5000","1163.5800","1141.7100","1150.8500","1504328","GOOGL"
"2019-03-06","1171.7600","1174.7400","1163.0500","1164.9400","1180052","GOOGL"
"2019-03-05","1156.0000","1176.4900","1153.0200","1169.1900","2004723","GOOGL"
"2019-03-04","1154.5600","1165.5200","1138.2500","1153.4200","1774467","GOOGL"
"2019-03-01","1131.0000","1150.0000","1131.0000","1148.5200","1704258","GOOGL"
"2019-02-28","1119.0000","1133.9900","1118.4100","1126.5500","1371355","GOOGL"
"2019-02-27","1114.0100","1125.7300","1108.5600","1122.8900","1104881","GOOGL"
"2019-02-26","1114.3700","1126.4300","1106.7000","1122.0100","1751261","GOOGL"
"2019-02-25","1121.9300","1125.4000","1114.1100","1117.3300","1310362","GOOGL"
"2019-02-22","1109.7000","1117.2500","1100.5000","1116.5600","1471783","GOOGL"
"2019-02-21","1118.7800","1119.1500","1097.9800","1104.2100","1663980","GOOGL"
"2019-02-20","1128.8800","1130.9300","1111.7500","1120.5900","1204533","GOOGL"
"2019-02-19","1116.6400","1129.6400","1116.6400","1126.5100","1099259","GOOGL"
"2019-02-15","1139.3000","1139.3000","1116.7200","1119.6300","1391348","GOOGL"
"2019-02-14","1125.0000","1136.1300","1117.0900","1129.2000","1055297","GOOGL"
"2019-02-13","1133.0400","1142.8500","1126.0000","1128.6300","1402087","GOOGL"
"2019-02-12","1111.0100","1132.8600","1111.0100","1127.5800","1751771","GOOGL"
"2019-02-11","1103.7500","1113.4300","1100.0000","1102.1200","924881","GOOGL"
"2019-02-08","1094.8800","1105.1000","1094.2400","1102.3800","1088327","GOOGL"
"2019-02-07","1111.8200","1111.9900","1093.5900","1105.9100","1914877","GOOGL"
"2019-02-06","1149.2700","1154.0000","1118.3600","1122.8900","2412820","GOOGL"
"2019-02-05","1129.6300","1152.7700","1123.6000","1151.8700","4114790","GOOGL"
"2019-02-04","1119.0100","1142.3400","1117.5100","1141.4200","3920591","GOOGL"
"2019-02-01","1122.2900","1134.4000","1114.2500","1118.6200","1655813","GOOGL"
"2019-01-31","1112.2400","1127.6700","1105.2500","1125.8900","2011572","GOOGL"
"2019-01-30","1077.3600","1099.5200","1076.6400","1097.9900","1472647","GOOGL"
"2019-01-29","1081.0400","1084.7300","1066.0200","1070.0600","985248","GOOGL"
"2019-01-28","1090.0700","1093.3700","1074.6100","1079.8600","1466714","GOOGL"
"2019-01-25","1094.2300","1103.3600","1091.8000","1101.5100","1163788","GOOGL"
"2019-01-24","1082.5100","1088.0000","1070.0200","1084.0000","1455948","GOOGL"
